gene_label	log2FC	pvalue
Gene_0	0.457075619631647	0.9640137023633957
Gene_1	2.4131119631836118	1.691264484758778e-08
Gene_2	1.1256767937096859	0.7235593541194474
Gene_3	1.4108470745868207	0.8690918705316198
Gene_4	-2.9265527829807545	0.9068072536148696
Gene_5	-1.9532692602934771	0.3374897064506897
Gene_6	-2.8152008130040294	0.0005009623516189581
Gene_7	-0.4743638885153733	0.6088078092447134
Gene_8	-0.025201736256433193	0.267299668883867
Gene_9	-1.27956589136037	0.221952251524872
Gene_10	3.597565553969355	9.231822131679576e-06
Gene_11	1.1666879031434225	0.6593141959505214
Gene_12	0.09904604634182407	0.780918991052688
Gene_13	1.6908618104520494	0.7609529795409085
Gene_14	4.1914317623823605	1.2717470887363822e-07
Gene_15	0.8232786768761595	5.188408125831947e-07
Gene_16	0.5531261761237483	0.4536141785092605
Gene_17	-1.4383239012434983	0.5468134602858292
Gene_18	1.3176754519609089	0.919087127976647
Gene_19	-0.07488886647937934	0.8748231542865718
Gene_20	-0.27729354531789085	0.9160583313102219
Gene_21	-1.021394316605912	0.8502623851509534
Gene_22	1.8338120080110454	0.9645812044398531
Gene_23	-0.23179422310320325	0.46549999722250746
Gene_24	3.086762794818349	9.816223141946625e-07
Gene_25	-0.5282003257323444	0.08356203224012203
Gene_26	0.798463778330023	0.39027614183331555
Gene_27	0.5481660965461175	0.25768709134722856
Gene_28	0.6190989173939826	0.16994059144407325
Gene_29	0.6462315045118241	0.9532037745133282
Gene_30	3.2124714013056916	0.19541958849108051
Gene_31	-0.6096225245769233	0.9593792723192931
Gene_32	1.6369422335113146	2.2725273593380032e-08
Gene_33	-1.2206590923718166	0.6409456721611289
Gene_34	0.9239691338632434	0.6760189601217764
Gene_35	1.6934584390813374	0.33147432372597657
Gene_36	-0.1709211864823126	0.6464270380936394
Gene_37	-1.260234715443792	0.1866921183625961
Gene_38	-1.2367218235368593	0.937705432542209
Gene_39	0.9758891817370516	0.3017933400304142
Gene_40	1.1148812568051634	0.25518651236802353
Gene_41	0.8147314024577925	0.7111627982230412
Gene_42	-0.9982645609330414	0.6564487181005371
Gene_43	0.34824198460007966	0.4512989183981754
Gene_44	0.17502871371109233	0.6324462347275417
Gene_45	0.3280328950935194	0.15949307184490685
Gene_46	1.3071431669222848	0.6733283074346222
Gene_47	0.3353933231620234	0.2706106952681328
Gene_48	1.0183703446078423	0.2728359767491737
Gene_49	0.10136860423333718	0.16217993502756659
Gene_50	0.43367909803497623	0.33237713510292693
Gene_51	0.9469323387578106	0.331251060378203
Gene_52	-2.1857337297835	0.4541790117568514
Gene_53	-0.479506824535952	0.19041950474730754
Gene_54	-0.7055589814391933	0.19300753623946557
Gene_55	-0.9583167723650129	0.5417385717090545
Gene_56	-0.4127133768400256	0.1288774047575874
Gene_57	2.242411966851594	0.6888970080199455
Gene_58	-1.2987466735398647	0.9439471258682018
Gene_59	3.2658793795621097	0.0011189888126345161
Gene_60	-0.38104274494529644	2.788939830005116e-05
Gene_61	-0.5023275449786623	0.09831659121603277
Gene_62	2.3818215010133392	0.0010395353312548175
Gene_63	0.8793334970389173	0.7213688775417031
Gene_64	-1.777776158224971	6.208593938920031e-09
Gene_65	1.190020852799888	0.8430582409814456
Gene_66	-0.5230876083726563	0.05681767849429965
Gene_67	-0.6935276889968507	0.7769070549791397
Gene_68	1.2869638218857307	0.3765387328589279
Gene_69	-0.28695648732242235	0.3033376327518648
Gene_70	-1.9135294850068827	0.17302392142599454
Gene_71	-4.63468905493481	0.01665223007533894
Gene_72	-1.379178429002417	0.06366358941249725
Gene_73	0.7457411160806461	0.8270080146252986
Gene_74	0.21363860410584787	0.6394944355265781
Gene_75	1.0357280311016523	0.7350804442883591
Gene_76	-2.6950851950611536	9.492374725660575e-05
Gene_77	0.23780953661507134	0.8584344850873391
Gene_78	0.938385590951005	0.1837920699377291
Gene_79	-0.4640198095803576	0.0008246169346029149
Gene_80	0.6851628563361172	0.5985284890834133
Gene_81	-0.9928889115999768	0.3538586393879481
Gene_82	-3.8176532350406043	0.004443095776582983
Gene_83	-0.5726068409974936	0.18613875418562498
Gene_84	-1.7937594683835596	0.331749312526048
Gene_85	2.623820068224611	2.7510522356237385e-09
Gene_86	-0.7041035103040858	0.056913202222759536
Gene_87	0.018741178091531144	0.9160262548408415
Gene_88	4.643401197164577	2.1154150630072063e-05
Gene_89	3.1120896351837954	2.45185375791076e-10
Gene_90	0.9980776634591794	0.9643670083339632
Gene_91	-3.543367681776288	1.562863739297043e-06
Gene_92	-0.6349474680662306	0.7149243029246984
Gene_93	-0.11957731635959858	0.6008048891669887
Gene_94	-2.5310016509370445	0.6906470731360889
Gene_95	-2.170668708634631	0.09619100010485568
Gene_96	-1.9840494185316035	0.18856007871570205
Gene_97	-1.4958702414022227	0.07663866154321762
Gene_98	0.5996613400851549	0.6041342052566577
Gene_99	-1.3582185830400912	0.986591075850432
Gene_100	-0.5672438310590846	0.671984537690743
Gene_101	-1.823967730990443	6.915106349756401e-09
Gene_102	2.7272003407332472	2.4399022892850193e-08
Gene_103	1.1062733527006299	0.678011554203995
Gene_104	-3.852083839268918	4.325813736282651e-08
Gene_105	-0.30815633680144505	0.8670056008698971
Gene_106	-1.425033082365872	0.36467829044232847
Gene_107	-3.6422530041306205	0.0006557178661522429
Gene_108	1.2604622061860933	0.5072341776100971
Gene_109	-5.14129189226133	4.6264636544249015e-06
Gene_110	0.651635465318786	0.2573306872692501
Gene_111	0.35660340349841685	0.49151317310368864
Gene_112	-0.8912249335451916	0.17377688786501308
Gene_113	-5.784738940113829	0.0023147788863419174
Gene_114	0.10819426157080428	0.08054494680505868
Gene_115	-0.7942390635957036	0.7270109059886544
Gene_116	0.34901431703205593	0.8640744707557416
Gene_117	-2.761239519262054	0.0036601369995356665
Gene_118	2.4026683369813733	0.28831856788163684
Gene_119	-0.3590334412095364	0.19502946772532437
Gene_120	-1.5352462389327974	0.026855777023742356
Gene_121	0.26891345243447423	0.5534313699316404
Gene_122	0.32999502595764774	0.6999221701676553
Gene_123	-0.7157306748295151	7.818756298588343e-06
Gene_124	1.2526668688718678	0.3880535473634423
Gene_125	0.5353065887242641	0.5550102459844043
Gene_126	2.1949543368293427	0.09409930672681474
Gene_127	-1.7831445814842763	0.15430371880725408
Gene_128	2.5559241528124534	2.1359040011538785e-07
Gene_129	-1.3898639121082874	0.7615077478437461
Gene_130	-0.584714704733652	0.9227390958328934
Gene_131	-0.36866681175332006	3.968236438058884e-06
