gene	PDUI_prenatal	PDUI_postnatal	category	pvalue
CON_0	0.37958261555184525	0.6475690573474321	CONSISTENT_GAIN	0.7051795269810269
CON_1	0.6446155366160979	0.625961331327586	CONSISTENT_GAIN	0.7665413990123631
CON_2	0.35384306377781105	0.712261432177398	CONSISTENT_GAIN	0.6699149561837054
CON_3	0.12042649165635025	0.8598588862911787	CONSISTENT_GAIN	0.2725157263182914
CON_4	0.2564766359063712	0.668979138891328	CONSISTENT_GAIN	0.36112476172906954
CON_5	0.3931186916000902	0.5171046265364754	CONSISTENT_GAIN	0.18324231508805555
CON_6	0.1994110414759313	0.6892067388143864	CONSISTENT_GAIN	0.5421369746888199
CON_7	0.15331541165966514	0.47496731773064077	CONSISTENT_GAIN	0.0779112389357673
CON_8	0.09311008127989612	0.8665670468072202	CONSISTENT_GAIN	0.9038658935347837
CON_9	0.2687570773066823	0.4528332202012916	CONSISTENT_GAIN	0.1964494131563317
CON_10	0.5417564119399672	0.6526221147745328	CONSISTENT_GAIN	0.21350005385709162
CON_11	0.22032134489872035	0.6002243625557261	CONSISTENT_GAIN	0.48457791664432925
CON_12	0.4313748109248255	0.5503583683446228	CONSISTENT_GAIN	0.31977763755866706
CON_13	0.25814278016449577	0.5428075535028465	CONSISTENT_GAIN	0.1665429019234575
CON_14	0.2419091175695534	0.7634155505991862	CONSISTENT_GAIN	0.9856594494828771
CON_15	0.37754288505516076	0.6679741035345312	CONSISTENT_GAIN	0.27964646474634625
CON_16	0.06994488439068353	0.5817176084848827	CONSISTENT_GAIN	0.7395235166916962
CON_17	0.5504051862312437	0.8078639622211108	CONSISTENT_GAIN	0.7260807816882222
CON_18	0.380597587629281	0.5857582787519638	CONSISTENT_GAIN	0.24457783204398417
CON_19	0.4577122941365216	0.6881851693781871	CONSISTENT_GAIN	0.2776878441528623
CON_20	0.2613182928467937	0.43915176924731314	CONSISTENT_GAIN	0.5346820931595229
CON_21	0.37445808964978566	0.44556265392776706	CONSISTENT_GAIN	0.8610291060981567
CON_22	0.43992078845190563	0.6851702639624901	CONSISTENT_GAIN	0.7395347484895656
CON_23	0.2863936232549874	0.63696721844988	CONSISTENT_GAIN	0.303051683794859
CON_24	0.16901948726344057	0.8576080272795077	CONSISTENT_GAIN	0.04319041039140464
CON_25	0.1585312638393897	0.5153615390812538	CONSISTENT_GAIN	0.6074035966933824
CON_26	0.2365774337780308	0.6810861084418373	CONSISTENT_GAIN	0.47573317785238806
CON_27	0.3340475116209969	0.5705114992978007	CONSISTENT_GAIN	0.343891623714881
CON_28	0.2755759127706909	0.7017874178173492	CONSISTENT_GAIN	0.6462112161270674
CON_29	0.2265878861900193	0.6922564772690885	CONSISTENT_GAIN	0.9516858520818932
CON_30	0.40170367128828866	0.5966969560589893	CONSISTENT_GAIN	0.9034919788501271
CON_31	0.23084042085405745	0.5111355264442412	CONSISTENT_GAIN	0.665669201026576
CON_32	0.21035968037867983	0.5592943072960579	CONSISTENT_GAIN	0.9592840022168313
CON_33	0.44090691475534927	0.46646606997637347	CONSISTENT_GAIN	0.3956232667082489
CON_34	0.3825839596986566	0.6437745233694822	CONSISTENT_GAIN	0.10105614091421429
CON_35	0.11624590298034096	0.26293354559429893	CONSISTENT_GAIN	0.45226793284515676
CON_36	0.10037384049804648	0.5302656407620796	CONSISTENT_GAIN	0.6603911991243946
CON_37	0.13383980083489394	0.7084924517997757	CONSISTENT_GAIN	0.8014207319677683
CON_38	0.2954061693008561	0.7056219465612019	CONSISTENT_GAIN	0.9379920631578647
CON_39	0.476766845541148	0.406548626493935	CONSISTENT_GAIN	0.5171518371478554
CON_40	0.5171067900184086	0.6699478944775707	CONSISTENT_GAIN	0.3730636485061356
CON_41	0.41257366948452023	0.46305830623827693	CONSISTENT_GAIN	0.28166563221223373
CON_42	0.5869325571503801	0.5546023501755902	CONSISTENT_GAIN	0.6068490659989918
CON_43	0.33024375250588844	0.6919152255779419	CONSISTENT_GAIN	0.6927644448786733
CON_44	0.4663541660281193	0.48298316751918313	CONSISTENT_GAIN	0.632399678513407
CON_45	0.2143191961228751	0.7712319115750916	CONSISTENT_GAIN	0.19513546268344534
CON_46	0.06658436566579345	0.6308291990766721	CONSISTENT_GAIN	0.4462038359829666
CON_47	0.2537022307717794	0.6555250053913805	CONSISTENT_GAIN	0.07427487954839251
CON_48	0.28122863168560264	0.7292669726024115	CONSISTENT_GAIN	0.5203852380662419
CON_49	0.6877301009172797	0.7068570348850083	CONSISTENT_GAIN	0.21419953288861918
CON_50	0.29993503031125746	0.6963874889172523	CONSISTENT_GAIN	0.8891743462975622
CON_51	0.1473286118395444	0.5210718959532217	CONSISTENT_GAIN	0.8082199269019229
CON_52	0.44469720807514335	0.46668869720130624	CONSISTENT_GAIN	0.7314537156728251
CON_53	0.18606200105118853	0.5661264592660465	CONSISTENT_GAIN	0.11241168616508616
CON_54	0.3215310260300115	0.656928952848745	CONSISTENT_GAIN	0.446798498138587
CON_55	0.4315928836663823	0.44572911529178505	CONSISTENT_GAIN	0.18020607592361246
CON_56	0.16025426719624936	0.6699426941136559	CONSISTENT_GAIN	0.04377511404024335
CON_57	0.5276189862890369	0.6449363776980576	CONSISTENT_GAIN	0.4024694618331354
CON_58	0.4690204049352661	0.5781830675484287	CONSISTENT_GAIN	0.31373200021269737
CON_59	0.3529919766172295	0.6073827675480615	CONSISTENT_GAIN	0.9182132714682344
CON_60	0.5627522147138213	0.6078132655991457	CONSISTENT_GAIN	0.9260705163006882
CON_61	0.24266270316543415	0.6529935763746567	CONSISTENT_GAIN	0.9348258981333908
CON_62	0.4191250836320731	0.6895701725063091	CONSISTENT_GAIN	0.014332597386334441
CON_63	0.34182276978509396	0.944572120615762	CONSISTENT_GAIN	0.5188873180926388
CON_64	0.20432326843505227	0.6202895216245158	CONSISTENT_GAIN	0.01823875056998258
CON_65	0.20883280851729275	0.5227067964501481	CONSISTENT_GAIN	0.6044725991673512
CON_66	0.6046606418780736	0.37125784548869706	CONSISTENT_GAIN	0.5084194169036326
CON_67	0.45889716182578755	0.4310444245207756	CONSISTENT_GAIN	0.43037936060270804
CON_68	0.43342610870542897	0.509115665440667	CONSISTENT_GAIN	0.052617242362480506
CON_69	0.20620972318748548	0.6827328734130977	CONSISTENT_GAIN	0.1048697945977009
CON_70	0.4061917356032514	0.5526151236240144	CONSISTENT_GAIN	0.3130330231517743
CON_71	0.24479502756031296	0.6488073697196187	CONSISTENT_GAIN	0.24200821687611354
CON_72	0.5547058573791908	0.512153951325906	CONSISTENT_GAIN	0.17883318344508053
CON_73	0.4819358802121012	0.654652966832347	CONSISTENT_GAIN	0.8512852688959285
CON_74	0.4378989914738519	0.7046898174349164	CONSISTENT_GAIN	0.028486783103240966
CON_75	0.4226655878135629	0.5517350839227128	CONSISTENT_GAIN	0.21787526959941977
CON_76	0.2868320661602357	0.6521976772349379	CONSISTENT_GAIN	0.9170337701485748
CON_77	0.373076561056024	0.5471514511191291	CONSISTENT_GAIN	0.8717074920150464
CON_78	0.5312002430787179	0.4521753562961519	CONSISTENT_GAIN	0.3552423226245208
CON_79	0.3699987852674403	0.6664434832869113	CONSISTENT_GAIN	0.80441297798879
CON_80	0.17389150239619602	0.649529767554669	CONSISTENT_GAIN	0.15223397270094094
CON_81	0.48824202787980575	0.6712149941124715	CONSISTENT_GAIN	0.6404262757853508
CON_82	0.19808581264067868	0.7146639065771433	CONSISTENT_GAIN	0.8831845416570511
CON_83	0.29556583994367575	0.5701429497705203	CONSISTENT_GAIN	0.4719679279937158
CON_84	0.22894896106605803	0.578982181929938	CONSISTENT_GAIN	0.16688005805415349
CON_85	-0.09134752128202672	0.5658141242080518	CONSISTENT_GAIN	0.5788010711992021
CON_86	0.326291144418167	0.6414345883182454	CONSISTENT_GAIN	0.7481733826866235
CON_87	0.6259161261934592	0.5833503036956356	CONSISTENT_GAIN	0.8656209133006201
CON_88	0.347997814149525	0.6151096586811606	CONSISTENT_GAIN	0.37913297745479985
CON_89	0.7444952952125055	0.5135227456035474	CONSISTENT_GAIN	0.2840790124709291
CON_90	0.27701732915272015	0.4766885839844797	CONSISTENT_GAIN	0.6855755734099178
CON_91	0.3332172322994727	0.49095279704662176	CONSISTENT_GAIN	0.24986217555671522
CON_92	0.28436543478752524	0.6499909013853589	CONSISTENT_GAIN	0.24277675837516588
CON_93	0.30904991390067116	0.5948565742050029	CONSISTENT_GAIN	0.18236535416215305
CON_94	0.3554999446771848	0.5407754685842505	CONSISTENT_GAIN	0.3674907053721803
CON_95	0.5265449163973582	0.6796005240689433	CONSISTENT_GAIN	0.43925058668048433
CON_96	0.17417263566508503	0.774939385900656	CONSISTENT_GAIN	0.7248599342426403
CON_97	0.301307300489179	0.5406273732135887	CONSISTENT_GAIN	0.10774407583716201
CON_98	0.39236136524664134	0.46992074243984616	CONSISTENT_GAIN	0.42595158357164653
CON_99	0.49201229898030174	0.7134149720905641	CONSISTENT_GAIN	0.6578384712355801
CON_100	-0.023667188343281076	0.6018514846906005	CONSISTENT_GAIN	0.5449515213881077
CON_101	0.09024419686294319	0.5779948233413407	CONSISTENT_GAIN	0.7879641372530991
CON_102	0.30609242307826684	0.7221303420530738	CONSISTENT_GAIN	0.8923167630033102
CON_103	0.46789442254227454	0.568494474884157	CONSISTENT_GAIN	0.21274233676993567
CON_104	0.22790164748862562	0.6476473745185009	CONSISTENT_GAIN	0.9086455460735688
CON_105	0.4003444272816583	0.6192318217222713	CONSISTENT_GAIN	0.8853663652430325
CON_106	0.5966803613489657	0.9893400472075496	CONSISTENT_GAIN	0.36384282495518755
CON_107	0.30155214902814176	0.5838848881422005	CONSISTENT_GAIN	0.8133204291220952
CON_108	0.2657761237200889	0.7124179954211528	CONSISTENT_GAIN	0.5152290002591265
CON_109	0.37077857143630444	0.5699210971490047	CONSISTENT_GAIN	0.8108374542392167
CON_110	0.32700394842714264	0.6540050995413892	CONSISTENT_GAIN	0.7480175376282535
CON_111	0.3382873901630381	0.5764823923752141	CONSISTENT_GAIN	0.9624027757772232
CON_112	0.2728706527057842	0.6954483174798389	CONSISTENT_GAIN	0.22110351321292518
CON_113	0.26142954033813043	0.5885185460417975	CONSISTENT_GAIN	0.7360656558131183
CON_114	0.14933552740516304	0.6604200038252421	CONSISTENT_GAIN	0.01389569127413357
CON_115	0.3919934868041324	0.5092805305817207	CONSISTENT_GAIN	0.9217443469792963
CON_116	0.1440371025080489	0.5044034313961536	CONSISTENT_GAIN	0.1989097216218616
CON_117	0.1774296608387277	0.37415148148750593	CONSISTENT_GAIN	0.3734321034270355
CON_118	0.12032135742405045	0.6438962485556111	CONSISTENT_GAIN	0.8430807823300493
CON_119	0.25107724232928835	0.522120875732655	CONSISTENT_GAIN	0.4776529502428573
CON_120	0.30388939974231993	0.8634595485871245	CONSISTENT_GAIN	0.663779998948473
CON_121	0.1350445350904668	0.5433214686806136	CONSISTENT_GAIN	0.36144151100321703
CON_122	0.26005166619238756	0.749568203614549	CONSISTENT_GAIN	0.5554073491205994
CON_123	0.3242594330677907	0.7373237776443605	CONSISTENT_GAIN	0.8454558810467165
CON_124	0.0646019142929102	0.5704786140782557	CONSISTENT_GAIN	0.8925269573106869
CON_125	0.1860829751484807	0.5115918155311825	CONSISTENT_GAIN	0.4562965195711573
CON_126	0.570697438016836	0.5838370494600148	CONSISTENT_GAIN	0.7201482058909423
CON_127	0.19370565680288282	0.7361877335735647	CONSISTENT_GAIN	0.46722008112671604
CON_128	0.4062640077867971	0.8742584472352911	CONSISTENT_GAIN	0.9396477285516501
CON_129	0.22387461455420749	0.45181997159599785	CONSISTENT_GAIN	0.7275595832989105
CON_130	0.3300161824867192	0.6017133209563387	CONSISTENT_GAIN	0.43128115802202266
CON_131	0.1804044322021579	0.5274573494547983	CONSISTENT_GAIN	0.4981150323172333
CON_132	0.01473689691522545	0.5565936394222335	CONSISTENT_GAIN	0.18313026364240215
CON_133	0.23385164121150992	0.8048236312214576	CONSISTENT_GAIN	0.9410035820542882
CON_134	0.3662745588109307	0.5076513965336231	CONSISTENT_GAIN	0.25505536514835453
CON_135	0.4017414560634182	0.40711199089505434	CONSISTENT_GAIN	0.1813525697286874
CON_136	0.32145460912087626	0.6242429119705234	CONSISTENT_GAIN	0.45211702002105036
CON_137	0.18339091750345773	0.6455495915588352	CONSISTENT_GAIN	0.7261616704056508
CON_138	0.43803758386745084	0.5494709460474578	CONSISTENT_GAIN	0.682706243418392
CON_139	0.19170442290279227	0.5182369510780876	CONSISTENT_GAIN	0.2545754683623387
CON_140	0.20089222480483987	0.6192407024354994	CONSISTENT_GAIN	0.2649503491894134
